,loan_amnt,int_rate,installment,annual_inc,dti,fico_range_low,revol_util,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,fe_loan_to_income_ratio,fe_monthly_installment_to_income_ratio,fe_credit_utilization,fe_available_revolving_credit,fe_credit_exposure,fe_debt_burden,fe_credit_history_months
pub_rec,-0.07618582930873315,0.07529777742192775,-0.06666705896499364,0.00797417483398383,-0.0328651173695186,-0.20930909193099942,-0.09015476925440234,-0.03107919823440587,0.11579772179598483,-0.02401807296019946,1.0,-0.10065768462692816,0.0165175836995994,-0.061236089318225786,-0.04687469631861693,-0.09015476925440234,-0.08401868866969922,-0.10930095309773336,-0.0328651173695186,0.04660656581952467
revol_bal,0.3345525525465507,-0.07457561022860176,0.32338294882031443,0.3814252151084961,0.09480048660980177,0.06750554729235833,0.2353419111151038,-0.03019385415965166,-0.007011084047961757,0.22251683052613772,-0.10065768462692816,1.0,0.17882806347246405,0.003042870586678203,-0.013655734175475397,0.2353419111151038,0.26346915649086927,0.95927150795883,0.09480048660980175,0.22304411981501557
total_acc,0.22149132701335514,-0.03544220130200046,0.18913422696823898,0.22282659887563752,0.18567842427513634,0.03551678083081741,-0.1397686118736787,0.11403113919506294,0.14389728544247685,0.7065157213358845,0.0165175836995994,0.17882806347246405,1.0,-0.025803422451359383,-0.05661049447719272,-0.13976861187367873,0.3270743654962538,0.22000483452696712,0.1856784242751364,0.2474425565359997
fe_loan_to_income_ratio,0.422656334583552,0.2252764970464459,0.40394012553468134,-0.23523016831468177,0.5374061059658267,0.016157216995380048,0.04756688933222655,-0.054445180004551674,-0.047383458646579314,0.005298413027682322,-0.061236089318225786,0.003042870586678203,-0.025803422451359383,1.0,0.9689957189786383,0.04756688933222655,0.01290368446032806,0.12930868593702152,0.5374061059658268,-0.02237013376559753
fe_monthly_installment_to_income_ratio,0.32445486039759425,0.19356049840915876,0.3659855055875775,-0.23457116975607206,0.5597760446094081,-0.012914106637784346,0.04971163795863074,-0.047783778277231084,-0.03313805527896715,-0.020708363923995575,-0.04687469631861693,-0.013655734175475397,-0.05661049447719272,0.9689957189786383,1.0,0.04971163795863073,-0.015644294658267777,0.08552806680685221,0.559776044609408,-0.040820438063186755
fe_credit_utilization,0.10322805572856325,0.17729537087737993,0.11373526797648495,0.06529357120706886,0.12983985257990724,-0.4205984770947223,1.0,0.0083390602261046,-0.09297257905821019,-0.1708799632977517,-0.09015476925440234,0.2353419111151038,-0.13976861187367873,0.04756688933222655,0.04971163795863073,1.0,-0.4845454581981827,0.23309902449149045,0.12983985257990724,-0.003658156191072941
fe_available_revolving_credit,0.24132419156637838,-0.27980416470421643,0.21219531659308197,0.22499244332332508,-0.01018762439660683,0.4918024580209568,-0.4845454581981827,-0.05781664024996675,0.026183920265572962,0.42988961350841776,-0.08401868866969922,0.26346915649086927,0.3270743654962538,0.01290368446032806,-0.015644294658267777,-0.4845454581981827,1.0,0.29865546215229727,-0.010187624396606813,0.2233303544121396
fe_credit_exposure,0.5871347905060073,-0.028480401801051398,0.5642283776529511,0.45495150977247967,0.08845269747416991,0.09644516814961852,0.23309902449149045,-0.027088311231128277,-0.009551134792624797,0.2535573240376178,-0.10930095309773336,0.95927150795883,0.22000483452696712,0.12930868593702152,0.08552806680685221,0.23309902449149045,0.29865546215229727,1.0,0.08845269747416991,0.23907819119650622
fe_debt_burden,0.023420043903044637,0.1801087561852236,0.01444339939096988,-0.17408272222649881,1.0,-0.04700493244127506,0.12983985257990724,-0.0044327991941636585,0.013688380352573578,0.23927792838609027,-0.0328651173695186,0.09480048660980175,0.1856784242751364,0.5374061059658268,0.559776044609408,0.12983985257990724,-0.010187624396606813,0.08845269747416991,1.0,0.01965458284973006
fe_credit_history_months,0.1584151270128584,-0.17722675076107305,0.1406440798854289,0.18867263269521845,0.01965458284973006,0.12780558394347524,-0.003658156191072941,0.10138756407047468,-0.0160847346420258,0.1280294835043331,0.04660656581952467,0.22304411981501557,0.2474425565359997,-0.02237013376559753,-0.040820438063186755,-0.003658156191072941,0.2233303544121396,0.23907819119650622,0.01965458284973006,1.0
